,,,,,,,,,,,,,,,10,11,12,13,14,15,16,매수개수,,,,,,,
종목명,현재가,ROE(Y),ROE(Q),BPS(Q),EPS(Q)(2),PSR(Q),배당수익률,종목코드,PER,PBR,기대 ROE,미래가치,기대복리수익률,기대이득%,2.59374246,2.839420986,3.105848208,3.39456739,3.707221314,4.045557736,4.411435079,,,,,,,,
메이슨캐피탈,308,-9,-3,368,-11,3.42,0,'021880,-28,0.836956522,-4.311980954,198.210362,0.643540136,-75.1887419,76.41867496,69.80661302,63.81843177,58.39046312,53.46601813,48.99457008,44.9310391,2717,,,,,,,
에쎈테크,995,7,2.2,407,9,1.34,0,'043340,110.5555556,2.444717445,-4.344748616,638.1330742,0.641339773,-75.27357542,246.0279245,224.7405641,205.4617713,187.9865682,172.1324464,157.7367364,144.6543047,2457,,,,,,,
한국맥널티,"7,320",2,6.4,"3,008",181,1.73,0,'222980,40.44198895,2.433510638,-4.666751039,4538.946059,0.620074598,-76.09343997,1749.960194,1598.546352,1461.419153,1337.120622,1224.352601,1121.958048,1028.904648,332,,,,,,,
코리아에스이,"1,615",-5,-5.7,"1,714",-91,2.83,0,'101670,-17.74725275,0.942240373,-4.785202656,989.0471608,0.612413103,-76.38882379,381.3204958,348.3270588,318.4467155,291.3617693,266.7893489,244.4773318,224.2007744,583,,,,,,,
아가방컴퍼니,"3,950",-10,-2.2,"4,530",-100,0.99,0,'013990,-39.5,0.87196468,-4.804657025,2414.093711,0.611162965,-76.43702202,930.7376304,850.2063353,777.2735656,711.1638786,651.1868342,596.7270445,547.2354615,221,,,,,,,
명성티엔에스,"16,300",7,2.1,"5,996",124,3.58,0,'257370,131.4516129,2.718478986,-5.399934058,9356.253835,0.574003303,-77.86968785,3607.24088,3295.12738,3012.46333,2756.243362,2523.791552,2312.722855,2120.909334,167,,,,,,,
빅텍,"3,560",2,3.8,"1,527",55,2.01,0.8,'065450,64.72727273,2.331368697,-5.451579362,2032.323246,0.570877316,-77.99020816,783.5485894,715.752703,654.3536933,598.6987479,548.2066145,502.3592243,460.6943567,655,,,,,,,
모헨즈,"5,110",5,1.5,"2,033",30,0.67,0,'006920,170.3333333,2.513526808,-5.84102804,2799.22612,0.547793761,-78.88017914,1079.222846,985.843992,901.2758937,824.6193986,755.0739172,691.9258858,634.5386637,492,,,,,,,
루멘스,"2,920",-16,-1.8,"3,909",-67,0.42,0,'038060,-43.58208955,0.746994116,-6.203494425,1539.038344,0.527067926,-79.6792498,593.3659058,542.0254171,495.5291569,453.3827635,415.146066,380.4267408,348.8747577,256,,,,,,,
삼성출판사,"23,800",0,6.6,"9,018",584,1.22,0.4,'068290,40.75342466,2.639166112,-6.253805122,12477.09398,0.524247646,-79.78798381,4810.459854,4394.238839,4017.290331,3675.606504,3365.618861,3084.146808,2828.352623,111,,,,,,,
